Negara,Kuartal,Tipe_Item,Volume_Penjualan,Total_Revenue
Moldova,4,Digital Track,7,21.32
XK,3,Digital Album,7,21.21
Kazakhstan,3,Other,3,21.15
Saint Kitts and Nevis,3,Digital Album,2,21.0
Seychelles,3,Digital Album,4,20.87
Guadeloupe,3,Digital Track,10,20.63
Cayman Islands,4,Digital Album,1,20.2
Ecuador,3,Other,1,20.0
Lithuania,4,Other,1,20.0
Macao,3,Physical / Merch,1,20.0
Somalia,3,Digital Track,1,20.0
Trinidad and Tobago,3,Other,1,20.0
U.S. Virgin Islands,3,Other,1,20.0
XK,3,Physical / Merch,1,20.0
India,4,Other,1,19.95
New Caledonia,4,Physical / Merch,1,19.92
Reunion,4,Digital Album,2,19.54
Central African Republic,3,Digital Album,2,19.42
Guernsey,3,Physical / Merch,1,19.37
Isle of Man,3,Other,3,19.05
Greenland,3,Digital Track,8,19.01
Kenya,3,Other,1,18.94
Armenia,4,Physical / Merch,1,18.8
Ghana,3,Digital Track,2,18.8
Gibraltar,3,Digital Track,7,18.27
Bahamas,3,Digital Track,4,18.0
Bahamas,3,Other,2,18.0
Sri Lanka,3,Digital Track,11,17.99
Senegal,3,Digital Track,6,17.9
Saint Lucia,3,Digital Album,2,17.85
Armenia,4,Digital Album,2,17.72
U.S. Virgin Islands,3,Digital Album,3,17.67
Estonia,4,Other,1,17.63
Mauritius,3,Physical / Merch,1,17.61
Mozambique,3,Digital Album,2,17.11
Paraguay,3,Digital Track,5,17.0
Faroe Islands,4,Physical / Merch,1,16.77
Egypt,3,Other,1,16.71
Qatar,3,Other,1,16.29
Argentina,4,Other,1,16.16
Nicaragua,4,Digital Album,2,16.1
Jersey,4,Digital Track,2,16.08
Albania,4,Other,1,15.96
Palestinian Territory,3,Digital Track,2,15.86
Aruba,3,Digital Track,3,15.85
Azerbaijan,3,Digital Track,6,15.44
Jersey,4,Digital Album,2,15.41
Afghanistan,3,Digital Album,3,15.18
Latvia,4,Digital Track,8,15.06
Dominica,3,Digital Album,3,15.0
Venezuela,3,Digital Track,9,14.94
Ukraine,4,Other,1,14.19
Nicaragua,3,Digital Track,7,14.15
Mayotte,3,Digital Album,1,14.1
New Caledonia,4,Digital Album,2,14.09
ME,4,Other,1,14.08
Monaco,4,Digital Track,2,14.0
Myanmar,3,Digital Album,2,14.0
Swaziland,3,Digital Album,2,14.0
Azerbaijan,3,Physical / Merch,1,13.96
Venezuela,4,Digital Album,2,13.65
Namibia,4,Digital Album,2,13.49
Nigeria,3,Digital Album,4,13.33
Papua New Guinea,3,Digital Album,3,13.05
Guadeloupe,3,Physical / Merch,1,13.0
Jamaica,3,Physical / Merch,1,12.99
Mayotte,3,Digital Track,5,12.95
Guyana,3,Digital Album,2,12.93
C2,4,Other,2,12.9
Sri Lanka,4,Physical / Merch,1,12.89
Georgia,4,Physical / Merch,1,12.83
El Salvador,3,Digital Track,9,12.82
Trinidad and Tobago,3,Physical / Merch,1,12.82
Ecuador,4,Digital Album,3,12.74
Botswana,3,Digital Track,9,12.2
Bahamas,4,Digital Album,1,12.0
Saudi Arabia,3,Other,1,12.0
Trinidad and Tobago,4,Digital Album,3,12.0
New Zealand,3,Unknown,2,11.99
Bangladesh,4,Digital Album,1,11.72
Macedonia,4,Digital Track,1,11.72
Nicaragua,3,Physical / Merch,1,11.67
Brunei Darussalam,3,Digital Track,6,11.47
Macao,4,Digital Track,9,11.17
Egypt,4,Digital Track,6,11.14
Faroe Islands,4,Digital Album,1,11.0
Libyan Arab Jamahiriya,3,Digital Album,3,11.0
Uzbekistan,3,Digital Album,2,10.92
Bosnia and Herzegovina,4,Digital Track,3,10.34
Liechtenstein,4,Digital Track,1,10.29
Uganda,4,Digital Track,8,10.29
Cambodia,4,Digital Album,1,10.0
Cayman Islands,3,Digital Album,1,10.0
Moldova,3,Other,1,10.0
Zambia,4,Digital Album,1,9.99
Bolivia,4,Digital Track,5,9.69
Netherlands Antilles,3,Digital Track,4,9.54
Jordan,3,Other,1,9.49
Slovenia,4,Other,2,9.4
Fiji,4,Digital Album,1,9.38
Ghana,3,Digital Album,3,9.25
Puerto Rico,4,Physical / Merch,1,9.11
Oman,4,Digital Track,6,9.04
Pakistan,3,Other,1,9.0
Puerto Rico,4,Digital Track,3,9.0
Venezuela,4,Physical / Merch,1,9.0
Antigua and Barbuda,3,Digital Album,2,8.63
Jamaica,3,Digital Track,5,8.52
Bahrain,4,Digital Album,3,8.5
Afghanistan,3,Digital Track,1,8.31
Cote D'ivoire,3,Digital Album,1,8.0
Monaco,3,Digital Track,2,8.0
Barbados,4,Digital Album,1,7.99
Albania,3,Digital Track,2,7.95
Guam,4,Digital Track,5,7.82
Cook Islands,3,Digital Track,2,7.75
Macedonia,4,Digital Album,1,7.74
CW,4,Digital Album,2,7.62
Panama,4,Digital Album,1,7.16
Georgia,3,Other,2,7.14
Morocco,4,Digital Track,5,7.05
Paraguay,4,Digital Album,1,7.03
Reunion,4,Digital Track,3,7.02
Fiji,3,Digital Album,1,7.0
Guatemala,4,Digital Album,1,7.0
Lao People's Democratic Republic,4,Digital Album,1,7.0
Lesotho,3,Digital Album,1,7.0
Germany,3,Unknown,2,6.73
Guatemala,4,Digital Track,2,6.5
Mexico,3,Unknown,1,6.47
Bulgaria,4,Other,1,6.44
CW,4,Physical / Merch,1,6.43
Ecuador,4,Digital Track,4,6.38
Burundi,3,Digital Track,3,6.34
Dominican Republic,3,Other,2,6.11
Mongolia,3,Digital Track,4,6.02
Austria,3,Unknown,1,6.0
France,4,Unknown,1,6.0
Kyrgyzstan,3,Digital Album,2,6.0
Pakistan,4,Digital Track,5,5.93
Costa Rica,4,Digital Track,4,5.88
French Polynesia,4,Digital Track,3,5.87
Uganda,3,Digital Track,3,5.16
Macao,3,Other,1,5.14
Belgium,3,Unknown,1,5.12
Malta,3,Other,1,5.1
Algeria,4,Digital Album,1,5.0
Aruba,4,Digital Album,1,5.0
Greenland,4,Digital Track,1,5.0
Lao People's Democratic Republic,3,Other,1,5.0
Liechtenstein,3,Digital Album,1,5.0
Nepal,3,Digital Album,1,5.0
Saint Vincent and The Grenadines,3,Digital Album,1,5.0
Tanzania,3,Digital Album,1,5.0
Tunisia,4,Digital Album,1,5.0
XK,4,Digital Album,1,5.0
Philippines,4,Other,1,4.75
Guadeloupe,4,Digital Track,1,4.73
Bolivia,3,Physical / Merch,1,4.72
Lebanon,4,Physical / Merch,1,4.69
Armenia,4,Digital Track,4,4.38
Mozambique,3,Digital Track,3,4.37
Andorra,3,Digital Track,2,4.0
Antigua and Barbuda,3,Digital Track,2,4.0
Ethiopia,4,Other,1,4.0
Nigeria,3,Other,1,4.0
Vanuatu,3,Digital Track,2,3.99
Isle of Man,4,Physical / Merch,1,3.88
Guernsey,4,Digital Album,1,3.86
France,3,Unknown,2,3.82
Panama,4,Digital Track,3,3.67
ME,4,Digital Track,2,3.52
Martinique,4,Digital Track,2,3.51
Bahrain,4,Digital Track,3,3.29
Jamaica,4,Digital Track,2,3.29
Andorra,4,Digital Album,4,3.28
Bangladesh,3,Digital Track,4,3.24
Australia,4,Unknown,1,3.0
Bangladesh,4,Digital Track,1,3.0
Guyana,3,Digital Track,1,3.0
Mali,3,Digital Album,1,3.0
Turks and Caicos Islands,3,Digital Track,2,3.0
ME,4,Digital Album,1,2.93
Bahrain,4,Other,1,2.69
Kenya,4,Digital Track,2,2.67
Dominican Republic,4,Digital Track,2,2.59
Nigeria,4,Digital Album,1,2.5
Nicaragua,4,Digital Track,2,2.46
Netherlands Antilles,3,Digital Album,1,2.36
Norfolk Island,3,Digital Track,2,2.18
Bosnia and Herzegovina,4,Digital Album,1,2.0
Liechtenstein,3,Digital Track,1,2.0
Palau,3,Digital Track,1,2.0
Papua New Guinea,3,Digital Track,1,2.0
Zambia,3,Digital Album,1,2.0
Belarus,4,Digital Track,1,1.89
CW,4,Digital Track,1,1.76
XK,4,Digital Track,1,1.67
Cameroon,3,Digital Track,1,1.66
HY,3,Digital Album,1,1.5
Isle of Man,4,Digital Track,1,1.29
Trinidad and Tobago,4,Digital Track,1,1.29
Serbia,4,Other,1,1.19
Zimbabwe,3,Digital Track,1,1.19
Saint Kitts and Nevis,3,Digital Track,1,1.18
Pakistan,4,Digital Album,1,1.17
Sri Lanka,4,Digital Track,1,1.17
Italy,3,Unknown,1,1.16
Nigeria,3,Digital Track,1,1.16
United Kingdom,3,Unknown,1,1.16
Andorra,3,Other,1,1.0
Andorra,4,Digital Track,1,1.0
Bangladesh,3,Digital Album,1,1.0
Barbados,4,Digital Track,1,1.0
Belize,3,Digital Album,1,1.0
Cambodia,4,Digital Track,1,1.0
Fiji,3,Digital Track,1,1.0
Heard Island and Mcdonald Islands,3,Digital Track,1,1.0
Indonesia,4,Unknown,1,1.0
Kyrgyzstan,4,Digital Track,1,1.0
Lesotho,3,Digital Track,1,1.0
Liberia,4,Digital Track,1,1.0
Myanmar,3,Digital Track,1,1.0
Panama,3,Other,1,1.0
Senegal,4,Digital Track,1,1.0
Togo,3,Digital Track,1,1.0
Tunisia,4,Digital Track,1,1.0
United States,4,Unknown,1,1.0
Uzbekistan,3,Digital Track,1,1.0
Uzbekistan,4,Digital Track,1,1.0
Wallis and Futuna,3,Digital Album,1,1.0
Malawi,3,Digital Track,1,0.99
French Guiana,4,Digital Track,1,0.94
CW,3,Digital Track,1,0.75
Jersey,3,Physical / Merch,1,0.64
Lao People's Democratic Republic,3,Digital Track,1,0.59
Isle of Man,3,Physical / Merch,1,0.52
Lebanon,3,Other,1,0.3
Åland Islands,3,Other,1,0.3
Slovakia,4,Other,1,0.29
